Temperature,Catalyst,Time,Met-oil,Yield
40,3,105,15,59.8
60,3,105,10.5,92.6
80,1,105,10.5,88.2
80,5,105,10.5,60.6
60,5,150,10.5,85.2
40,5,105,10.5,59.4
60,3,105,10.5,92.6
40,3,150,10.5,58.8
60,3,150,15,75.6
60,1,105,6,69.6
60,5,105,15,76.6
60,3,150,6,78.2
60,3,60,15,84
60,3,105,10.5,95
60,1,105,15,87
60,3,105,10.5,90.2
80,3,60,10.5,81.8
40,3,60,10.5,58.4
60,1,60,10.5,89.6
60,5,105,6,65.6
40,3,105,6,59
80,3,105,6,86
60,3,60,6,70
60,1,150,10.5,96.4
80,3,150,10.5,74.6
80,3,105,15,86.6
60,5,60,10.5,79
60,3,105,10.5,92.6
40,1,105,10.5,79.8
